18
898 1862
302 421 127
884 648 757
664 163 366
857 30 693
322 122 563
427 254 296
791 416 689
339 18 490
449 588 448
630 798 583
584 399 715
59 209 635
612 143 537
283 360 1000
14 459 789
173 335 369
52 534 575
162 581 316
102 170 939
314 858 276
478 218 774
652 806 639
167 284 592
242 337 261
341 301 11
284 290 39
44 816 167
870 439 89
162 27 538
830 669 164
287 437 958
102 233 783
242 661 781
450 371 831
645 183 763
307 317 891
709 694 677
237 783 581
354 144 27
801 187 978
696 624 936
865 863 48
60 64 75
881 765 110
736 842 259
526 30 898
98 872 85
355 641 744
647 782 608
358 701 465
112 17 133
830 599 142
209 84 499
443 60 120
517 252 523
14 26 44
842 282 281
190 809 905
36 369 837
706 59 795
315 791 478
616 323 995
717 462 559
507 813 885
852 386 321
442 4 609
181 437 326
82 33 159
76 755 549
419 638 42
12 264 641
46 152 909
561 647 216
89 67 55
238 313 993
672 322 699
169 182 781
673 290 582
547 593 515
284 786 732
379 331 849
247 274 608
181 338 993
659 497 460
705 615 358
698 177 845
87 414 404
356 763 975
751 358 278
651 272 721
60 523 226
826 299 41
715 721 686
494 303 969
703 108 129
554 108 777
216 744 128
202 313 443
207 826 541
24 226 741
851 65 740
385 497 729
691 868 686
591 7 985
328 580 78
528 541 355
260 310 396
330 450 371
659 55 802
732 329 120
157 329 796
602 686 813
868 819 816
25 84 445
459 711 887
805 20 215
402 33 154
596 346 426
321 710 327
77 371 658
161 294 189
726 373 950
637 272 33
418 653 308
122 248 697
264 44 649
451 96 218
683 767 113
710 733 298
345 119 462
830 815 776
485 122 636
509 736 592
324 789 524
714 91 359
285 826 98
441 477 472
692 222 454
874 222 361
282 745 658
839 661 70
52 695 705
787 167 152
756 495 205
221 182 390
369 621 470
602 789 515
241 380 313
747 568 333
777 245 505
380 739 438
254 634 940
816 657 868
57 695 176
572 669 322
733 103 750
56 740 707
108 584 61
422 295 751
162 455 329
827 82 526
466 372 536
484 625 992
522 327 581
535 732 927
417 114 973
265 155 977
209 641 745
339 468 280
427 139 313
611 687 514
192 724 205
41 83 123
477 763 705
354 692 624
17 563 667
62 54 288
193 574 530
366 849 249
324 12 711
406 111 958
118 271 91
180 546 787
533 190 271
815 215 841
784 244 245
547 247 365
597 68 724
265 385 873
400 551 108
150 567 412
498 238 193
212 116 535
680 189 366
121 637 772
27 281 991
19 411 190
884 205 50
107 58 153
719 99 556
126 274 113
739 139 543
870 723 709
635 544 566
336 638 84
150 488 908
653 767 123
180 112 676
730 778 261
362 587 896
824 127 30
47 514 484
6 642 846
684 313 131
128 570 132
266 596 653
446 1 771
742 810 199
45 169 178
781 852 798
537 783 71
660 588 625
250 580 832
836 690 35
807 163 163
333 160 971
377 701 34
465 811 728
525 832 642
764 529 534
854 839 977
537 825 704
508 207 754
176 268 660
662 660 882
19 642 639
332 240 672
658 513 732
271 834 488
791 102 142
343 82 351
21 822 64
623 457 527
748 46 715
134 430 603
719 58 449
515 796 232
811 672 739
243 540 626
821 742 554
564 172 63
304 390 406
117 337 146
411 530 516
184 20 133
9 630 758
713 609 24
12 461 336
414 487 995
600 326 107
129 634 899
372 462 67
366 264 209
94 800 378
456 621 766
693 461 87
703 100 910
674 242 179
823 843 456
582 166 832
297 296 993
791 389 517
601 458 427
895 671 504
148 52 801
255 723 576
623 308 684
380 715 460
554 897 857
549 652 86
580 368 238
408 736 456
484 172 985
194 188 912
237 243 36
599 792 850
134 425 944
368 893 291
563 198 211
118 65 610
858 887 806
663 874 11
480 443 581
347 370 244
56 469 123
658 277 289
618 484 819
605 72 819
16 601 862
333 783 304
250 423 182
659 553 714
832 585 155
553 582 285
368 707 834
307 183 293
745 685 42
330 8 300
195 868 738
833 449 1
3 190 298
558 478 315
244 319 912
875 156 933
530 898 407
223 180 589
411 581 79
165 469 257
754 684 493
567 302 218
476 789 887
160 572 312
447 684 986
435 162 472
540 782 777
115 652 467
98 159 998
32 854 998
861 693 677
249 624 651
854 381 250
230 585 547
485 550 53
144 356 913
46 631 853
552 278 643
837 303 750
845 569 891
749 332 711
652 25 872
44 64 758
589 751 847
612 504 173
387 849 445
511 5 369
601 385 20
111 523 46
219 542 990
158 38 574
508 728 804
839 790 345
825 94 787
719 388 422
771 495 428
458 402 597
30 436 702
379 157 349
826 512 633
428 113 566
556 125 632
514 27 240
97 650 809
758 110 486
758 25 280
882 62 980
237 186 990
395 98 618
825 84 705
585 593 468
370 84 56
386 194 407
570 547 823
377 257 846
32 127 936
22 505 433
894 175 390
621 270 728
815 162 368
122 384 104
682 629 569
708 411 540
707 445 267
521 502 902
18 403 256
160 220 791
233 182 351
537 18 172
624 851 94
745 859 332
353 365 713
68 420 684
526 795 73
357 796 241
779 626 522
744 798 840
376 842 392
616 246 969
724 398 993
586 589 364
332 419 603
831 823 376
30 480 267
594 477 458
36 643 740
246 404 480
595 456 682
878 865 129
136 77 205
48 805 571
43 642 251
287 595 997
292 750 782
61 628 9
608 516 371
893 191 640
191 439 839
490 63 508
189 436 856
325 656 703
178 371 448
544 704 593
25 625 156
105 96 311
321 101 724
577 395 702
763 778 613
612 91 528
434 85 48
195 624 488
514 121 828
314 453 730
303 104 362
282 14 890
548 756 678
265 505 805
688 209 474
669 808 399
521 601 809
373 852 109
823 630 87
74 691 477
837 582 74
840 760 124
172 516 300
890 367 383
481 810 74
379 686 62
492 192 861
410 605 931
434 383 460
890 624 836
363 773 548
480 581 599
498 637 113
678 445 704
752 140 174
753 40 149
125 308 164
853 624 160
598 538 418
399 27 143
389 630 992
726 216 525
195 552 151
15 687 669
253 440 776
62 424 444
602 833 47
549 318 418
231 336 547
85 417 135
27 859 285
298 175 226
781 182 741
285 129 615
338 6 79
853 273 428
669 795 684
361 85 645
295 70 518
67 825 990
466 332 873
541 720 480
858 544 627
275 441 300
647 831 275
374 126 147
5 764 246
654 518 204
703 725 34
11 401 324
483 554 306
70 358 836
367 755 355
136 454 558
344 793 234
823 215 709
449 175 624
59 740 166
191 292 676
357 629 504
23 454 762
810 111 404
149 126 123
713 332 193
738 888 835
104 378 338
407 889 954
681 600 961
261 84 827
804 27 94
238 858 44
369 282 82
894 540 771
890 470 485
190 138 874
110 300 938
311 497 813
268 22 420
253 726 798
840 838 670
71 229 621
715 556 26
264 76 644
96 777 815
846 353 521
142 297 916
858 370 678
135 88 626
715 771 500
821 114 784
52 257 543
891 808 777
305 116 299
455 153 147
437 801 482
235 85 785
262 13 573
163 100 834
520 683 848
585 639 519
438 310 778
853 781 897
658 609 642
267 779 565
738 349 571
386 710 976
185 586 263
21 750 815
60 194 668
885 67 402
616 751 918
9 159 132
452 242 238
384 638 375
153 440 591
673 582 178
208 897 272
738 619 790
782 655 901
391 769 887
424 490 915
108 266 756
263 776 223
174 227 450
297 662 884
644 854 831
726 463 653
557 67 109
300 825 489
752 722 217
427 720 844
538 132 816
750 307 495
673 204 848
683 296 392
801 444 755
303 326 602
768 368 156
162 771 348
745 59 132
218 258 616
155 597 64
782 46 107
362 369 781
386 18 472
310 803 569
326 223 315
197 240 515
605 619 869
670 534 286
159 553 261
99 213 320
776 268 661
83 423 409
289 432 561
837 111 656
447 230 574
109 648 41
279 85 691
712 335 869
104 437 787
214 198 740
361 136 984
865 830 323
622 172 819
778 428 721
141 52 456
592 510 953
37 157 954
59 692 275
678 437 819
386 307 776
390 887 764
883 837 889
733 55 6
649 142 181
118 723 751
110 609 158
642 516 226
552 533 71
642 308 157
505 563 723
68 597 180
613 316 168
558 599 536
18 322 470
597 540 998
95 274 617
825 380 633
401 860 856
462 418 261
119 195 516
56 146 710
281 251 619
470 550 521
380 675 521
360 537 319
438 804 670
116 691 380
349 177 229
292 41 193
15 811 78
348 318 462
19 820 387
642 780 36
448 275 487
612 100 3
170 54 549
897 464 75
318 189 646
831 428 856
807 744 497
520 588 739
10 374 742
7 382 252
191 613 606
165 105 21
888 479 627
311 348 555
580 336 906
556 814 817
292 33 795
246 164 872
601 708 318
52 820 288
637 349 119
748 120 136
240 52 901
203 102 403
402 538 408
859 845 828
287 741 448
390 82 929
595 558 620
93 22 658
694 254 870
561 294 205
862 607 634
795 706 189
464 834 869
51 810 183
365 145 760
511 143 390
892 226 671
720 633 905
215 461 991
494 231 567
65 163 513
277 508 302
453 448 739
519 486 918
869 529 596
364 246 428
280 585 91
488 849 522
744 562 814
182 513 471
601 301 345
180 379 757
188 447 391
780 459 650
832 114 234
525 564 761
316 231 870
775 587 598
259 7 804
557 511 695
362 563 987
348 318 650
506 320 726
35 439 394
134 380 784
437 348 729
738 221 60
252 170 174
851 475 875
358 514 119
90 259 458
175 112 721
457 85 630
727 706 68
726 672 72
545 630 943
74 892 907
728 495 265
311 334 55
273 691 860
821 824 136
96 612 752
165 521 726
367 140 874
392 799 397
752 688 50
649 522 208
231 695 459
437 284 717
759 423 583
581 598 133
692 332 653
488 609 694
239 452 84
59 525 282
73 277 725
266 109 996
25 332 70
684 36 872
122 128 435
125 172 358
694 378 801
241 728 936
135 416 739
792 569 501
41 291 842
523 449 445
738 654 670
589 832 963
595 666 106
590 452 109
872 630 1000
289 878 288
652 675 30
350 261 435
631 707 689
265 766 991
857 491 580
299 218 204
84 584 846
829 326 386
619 262 636
110 174 748
868 681 496
448 832 529
584 758 285
626 386 383
675 489 299
246 817 816
310 53 171
347 339 1000
447 250 614
471 302 413
196 200 45
837 339 529
783 117 239
479 376 873
550 838 506
455 682 942
567 55 854
693 656 784
492 867 14
319 353 209
829 534 872
83 576 451
638 413 112
840 405 667
497 243 636
151 229 706
402 735 28
789 146 373
480 406 392
784 322 954
811 838 108
882 74 762
690 774 35
739 770 610
510 370 472
827 474 931
695 688 579
150 136 243
344 277 561
487 634 711
807 361 999
625 36 231
270 696 638
250 828 116
278 720 668
496 507 561
795 445 267
512 676 872
102 117 404
557 55 618
455 617 602
398 602 655
515 459 187
18 76 902
270 9 265
637 512 852
744 196 537
196 442 959
544 331 300
386 722 318
397 603 453
651 228 808
749 744 669
518 295 770
317 451 282
822 522 13
143 296 322
598 880 362
387 667 994
132 374 56
492 417 974
551 460 12
873 151 147
422 718 382
775 90 961
651 573 719
162 607 913
262 885 685
128 387 321
183 599 556
546 813 760
664 410 41
641 664 346
417 780 345
481 539 631
770 42 88
512 237 1
610 341 934
579 731 738
619 202 392
536 78 494
14 776 917
407 561 455
898 413 459
238 427 527
298 146 413
185 861 830
623 106 353
398 576 572
884 83 49
577 393 255
675 682 854
61 815 677
705 717 627
229 12 62
197 730 592
845 793 669
685 349 750
763 811 952
679 1 476
10 599 862
54 894 740
229 440 96
868 154 657
794 650 106
598 104 782
177 677 297
266 534 948
605 802 644
318 576 391
642 344 945
158 617 147
337 172 970
503 640 767
554 516 400
391 425 632
498 262 590
667 523 742
574 450 954
127 800 824
210 93 884
307 858 301
525 568 711
541 608 101
649 871 970
64 135 500
639 551 320
444 723 186
26 476 514
310 796 725
837 216 58
810 137 135
18 848 170
566 296 539
727 179 620
248 786 586
554 418 897
242 493 887
242 607 554
674 140 575
615 629 769
348 730 126
599 174 576
60 311 483
515 317 827
438 191 715
339 660 250
497 81 800
890 638 727
114 375 361
144 803 465
44 169 627
101 516 332
714 135 709
148 160 825
553 618 240
197 231 541
857 387 598
179 257 799
789 760 450
553 223 760
336 828 379
310 26 434
32 124 871
407 311 521
673 318 160
890 363 896
469 413 922
551 205 125
609 427 282
192 422 44
785 581 86
519 184 135
613 454 527
471 84 399
172 532 587
111 78 246
572 505 625
142 663 586
109 554 503
615 70 401
111 753 557
516 94 289
694 317 557
188 850 407
436 319 366
841 401 899
504 816 867
187 370 875
681 352 602
382 10 641
793 613 894
143 723 674
579 1 234
460 727 242
51 194 191
491 609 483
775 240 7
218 562 689
767 801 490
776 282 255
536 600 218
120 1 745
743 819 62
829 255 174
819 713 159
737 658 73
235 305 458
892 74 11
86 778 697
648 174 9
398 735 731
501 80 483
635 805 72
220 368 906
746 715 547
234 139 327
832 72 991
356 679 564
281 421 334
10 475 563
186 62 645
550 320 490
833 64 299
685 495 173
496 343 170
663 44 154
367 447 710
12 801 169
659 686 338
893 836 377
23 126 591
73 511 978
482 396 397
413 72 316
328 297 591
297 539 225
325 428 7
851 755 15
649 44 125
6 361 607
564 585 159
577 732 272
292 390 617
502 156 83
555 153 321
507 16 315
317 346 526
558 835 639
647 455 303
130 834 444
476 778 235
565 18 552
281 607 628
257 479 519
32 659 76
289 303 846
701 250 158
640 647 786
330 839 753
203 80 940
75 250 57
687 538 76
66 506 882
639 374 27
96 895 583
826 588 54
193 89 867
571 274 240
572 746 41
620 139 382
300 292 520
176 359 72
808 444 880
476 448 997
70 19 564
430 376 842
259 166 212
260 281 973
494 836 190
803 419 284
784 177 737
606 896 799
684 595 738
692 302 259
525 135 794
399 792 686
309 336 695
395 734 545
763 631 72
510 483 321
567 66 838
599 399 513
265 285 1
403 892 996
513 215 11
300 433 313
640 561 457
661 139 305
494 676 980
798 93 294
678 259 110
303 709 635
814 525 789
772 551 987
355 285 526
347 543 294
423 450 92
487 637 213
110 894 188
506 10 692
731 771 454
224 897 636
128 844 702
619 99 232
370 624 507
888 251 350
271 189 281
415 649 200
52 404 773
510 848 106
677 36 971
62 889 436
671 213 42
354 729 877
885 634 366
846 56 472
660 884 534
291 841 190
792 398 817
493 357 554
165 7 229
83 528 13
715 239 606
527 306 47
39 566 656
756 859 975
175 371 970
186 622 976
288 770 85
145 76 565
644 897 100
340 774 642
292 561 265
839 227 283
275 795 932
164 713 727
201 229 940
813 48 208
265 50 822
705 444 995
29 131 860
543 212 549
238 245 697
570 767 410
497 251 655
300 781 416
513 267 824
167 29 609
276 799 111
883 355 709
376 144 379
615 30 64
133 515 70
624 582 903
427 616 399
714 135 162
360 796 695
217 107 147
115 293 441
174 832 432
130 135 414
700 224 663
458 359 58
883 548 707
65 316 597
304 481 501
344 593 515
697 104 320
351 724 253
779 4 325
599 286 85
708 516 753
525 643 233
704 152 847
196 606 812
744 855 543
630 284 22
421 466 603
285 341 171
530 510 566
152 234 713
782 389 552
753 215 278
744 174 698
258 586 173
730 173 188
791 858 128
630 244 944
85 768 371
246 501 107
159 555 115
176 360 571
152 14 879
743 808 685
864 222 549
108 471 958
855 730 506
163 35 724
351 488 334
218 711 83
879 713 959
768 241 410
541 374 626
610 107 515
227 180 213
352 626 194
563 528 962
261 502 338
123 844 147
771 874 614
211 335 798
615 355 55
240 616 174
95 689 542
49 305 427
83 305 739
713 98 363
21 558 186
831 24 915
257 15 173
124 535 649
14 163 888
803 306 105
216 815 144
742 106 244
330 859 154
396 300 386
823 374 222
325 456 663
104 360 736
817 849 689
549 53 618
352 272 393
790 281 359
864 309 863
321 818 329
174 239 484
780 396 272
877 176 874
731 63 110
659 436 614
55 581 263
410 246 997
427 863 572
105 216 410
39 645 123
58 610 569
399 622 711
658 282 659
787 714 219
300 200 530
877 803 541
732 352 831
676 546 316
861 432 685
898 768 778
57 319 229
703 737 664
482 394 177
697 591 811
213 129 502
606 897 516
720 175 750
526 363 622
302 440 269
835 305 148
39 194 878
737 514 626
63 113 7
721 534 279
828 881 789
167 82 834
657 93 504
326 871 859
833 563 859
119 81 183
815 368 623
436 414 152
711 702 577
778 128 177
691 282 897
206 232 521
63 153 828
459 438 210
332 418 238
809 264 91
801 230 564
667 552 544
572 798 40
443 872 597
475 374 197
154 799 376
651 715 532
16 467 439
299 485 943
613 869 891
277 368 966
868 835 777
203 399 199
606 385 544
488 53 897
523 522 97
643 110 884
357 866 172
205 173 896
787 403 521
215 25 148
284 380 606
577 855 243
158 132 206
57 632 592
599 477 553
666 95 994
58 537 563
543 287 658
299 16 417
383 229 335
84 130 889
838 546 630
125 430 344
394 17 511
108 565 440
883 177 712
803 660 794
68 626 614
45 124 156
529 26 72
613 779 859
893 290 485
380 258 268
526 754 672
454 77 496
728 542 383
761 611 47
727 150 356
576 885 269
755 208 15
823 461 474
33 440 562
657 176 484
680 462 732
707 603 486
97 552 480
640 136 462
150 808 222
227 456 469
184 34 774
284 204 403
647 265 560
244 207 419
547 653 222
647 450 511
368 357 719
30 270 901
811 735 247
307 47 255
193 237 35
735 684 300
274 324 448
272 368 272
891 86 359
204 690 915
143 120 884
575 262 973
167 573 104
413 751 345
185 160 137
474 179 822
52 317 968
90 881 547
316 726 40
29 846 479
845 263 705
711 581 122
432 677 600
548 870 10
190 530 277
169 827 340
350 787 747
476 547 446
804 286 334
103 725 363
288 385 651
76 332 725
26 88 579
366 727 144
65 865 960
744 102 596
212 398 490
566 270 823
845 563 886
501 371 884
438 188 214
774 375 919
690 219 536
688 758 204
836 44 280
864 898 119
757 601 364
340 690 394
557 41 596
641 752 66
566 417 937
464 835 252
126 334 856
544 720 109
646 362 834
464 130 696
718 83 345
874 179 257
663 865 56
462 765 465
539 220 820
276 620 229
270 487 240
327 226 673
55 92 262
557 551 293
372 176 947
175 165 136
849 117 515
744 552 174
225 317 378
392 85 573
392 75 854
769 898 869
284 863 933
548 33 250
597 862 605
222 625 675
199 621 127
822 172 674
766 186 505
645 689 521
375 648 199
622 288 411
395 666 799
677 664 538
678 527 749
823 394 249
446 357 223
711 264 404
409 635 952
108 493 295
752 756 871
80 554 853
859 285 573
29 607 210
801 593 181
612 309 794
36 812 128
755 658 636
86 302 745
293 540 844
401 47 654
79 337 689
85 82 772
590 216 771
655 846 583
81 454 118
796 578 53
827 203 390
127 813 585
771 843 474
404 134 411
782 539 265
494 739 8
210 33 869
141 230 778
698 790 156
360 827 800
895 884 998
811 538 293
562 279 509
870 246 167
761 527 837
642 149 498
140 516 485
749 538 302
860 68 895
754 151 475
177 162 821
465 772 537
597 249 259
759 380 924
623 694 136
69 548 739
191 823 215
384 664 971
246 332 146
6 309 932
254 802 137
101 237 768
246 344 961
90 144 399
769 30 528
68 605 481
859 415 59
597 203 782
336 838 28
711 553 423
828 775 468
413 185 59
705 2 48
407 328 303
829 733 839
371 156 167
155 470 393
247 697 221
750 764 513
314 431 34
710 662 598
399 671 914
792 760 782
63 190 269
409 709 703
343 622 559
433 84 74
370 817 21
748 289 417
661 284 430
246 615 871
234 142 802
593 662 694
134 686 802
897 495 248
242 790 999
702 866 19
416 820 646
554 844 884
315 710 411
211 324 510
251 103 723
450 595 568
627 283 718
649 637 817
413 675 961
508 717 573
451 298 131
786 560 509
608 756 878
562 239 211
806 164 519
551 691 361
758 496 919
848 17 967
731 689 291
153 706 108
440 57 821
476 551 79
617 276 246
503 577 296
444 851 481
432 327 883
832 546 461
810 121 462
674 764 795
612 592 446
307 24 274
877 273 769
80 101 927
141 390 199
650 695 182
216 111 330
854 725 613
249 420 582
588 261 527
164 268 57
666 781 435
425 692 440
426 844 940
452 226 239
465 681 468
268 713 796
353 336 812
792 550 448
479 437 662
59 760 812
448 800 102
685 537 398
464 14 676
26 431 663
31 146 148
848 128 576
646 230 710
53 826 291
722 799 708
139 475 664
897 857 140
679 705 623
845 562 480
536 791 77
1 465 619
437 698 210
861 229 346
511 195 735
5 681 882
300 765 765
726 569 534
274 694 565
61 632 511
430 310 647
33 450 406
759 509 213
63 494 907
687 762 150
88 879 778
801 204 17
221 615 852
162 16 768
470 150 143
553 243 390
181 668 509
890 45 479
677 418 152
780 226 126
6 663 228
145 255 440
42 125 822
26 371 798
50 727 638
71 312 572
743 521 476
602 469 879
340 487 188
553 740 533
720 456 935
37 524 193
307 889 545
67 333 928
510 439 599
596 623 134
70 93 110
635 575 391
829 213 100
260 130 203
489 4 250
453 373 848
761 775 245
184 624 65
782 538 246
751 753 924
714 142 48
882 877 273
696 369 990
608 481 490
405 721 479
706 12 304
288 878 173
16 716 606
214 831 739
237 647 857
71 474 730
638 7 382
486 762 944
638 594 802
810 91 317
708 38 846
657 695 761
858 439 16
416 543 407
232 782 862
715 423 962
176 158 235
580 2 336
112 701 546
814 584 727
412 24 255
843 856 483
152 367 64
307 494 433
401 543 88
514 126 435
668 95 440
265 705 776
389 822 157
350 94 135
259 48 351
429 760 16
644 73 391
130 852 412
808 498 989
889 505 799
3 889 602
227 846 315
90 324 925
443 644 334
751 503 533
108 559 1000
155 580 552
949 1738
291 391 917
394 76 183
640 827 609
205 517 967
432 28 889
159 581 861
341 285 944
447 866 758
883 782 537
781 684 120
512 151 35
346 710 408
668 257 367
825 789 516
680 226 345
150 492 456
479 401 212
362 48 32
197 652 135
406 312 869
494 401 364
630 856 715
186 174 873
920 417 824
146 429 606
386 923 375
250 72 836
396 716 823
617 172 637
561 56 393
564 840 274
144 290 986
81 490 394
692 54 992
113 139 912
115 926 236
528 779 50
695 764 963
880 120 501
294 586 174
500 471 175
167 450 807
253 343 354
427 789 775
883 493 292
392 359 431
522 222 695
299 801 137
28 671 772
875 649 284
297 846 1000
655 822 729
589 438 17
169 434 39
320 627 288
600 288 63
707 258 421
660 464 814
384 129 751
531 46 603
794 538 631
879 583 2
382 543 516
51 460 428
684 319 734
14 431 607
325 778 580
606 885 288
858 478 138
296 455 847
172 39 810
188 283 328
44 425 983
845 18 765
331 743 578
211 11 530
167 748 25
509 567 18
231 11 941
250 848 630
186 629 79
449 305 321
197 389 446
718 913 11
264 551 291
920 665 81
382 7 154
40 591 914
494 518 250
680 258 192
263 409 67
116 921 139
609 579 265
926 878 788
233 653 841
514 723 638
395 116 580
635 344 463
37 30 801
666 856 859
869 748 610
124 103 606
867 156 476
488 545 179
325 241 244
903 473 280
410 255 82
424 600 767
562 279 85
682 437 70
445 745 567
178 432 569
394 191 515
271 547 583
886 430 533
911 198 752
466 496 853
643 262 646
40 127 602
248 844 977
311 842 936
295 767 690
502 802 710
712 105 140
862 305 722
185 754 170
360 248 758
71 685 551
83 49 313
400 845 16
561 145 630
468 63 251
685 804 142
846 114 863
287 231 626
717 818 744
944 580 574
606 57 505
801 898 482
307 144 598
38 421 604
653 743 226
620 383 225
720 663 139
11 880 316
855 839 247
160 465 418
107 316 667
108 452 37
47 295 701
712 929 963
464 225 30
58 654 588
885 830 65
911 346 896
114 312 617
469 69 642
379 146 640
491 148 125
923 649 265
271 160 470
844 126 559
922 269 402
790 628 256
52 283 245
843 444 680
36 904 138
229 18 850
465 891 27
138 529 573
355 846 766
401 769 112
455 948 738
703 417 237
908 464 392
864 640 41
631 657 292
870 385 80
412 205 88
413 747 62
263 751 485
529 297 65
706 73 568
818 841 451
795 374 18
851 177 885
683 59 383
454 493 140
73 391 588
272 289 444
815 787 361
75 184 627
940 77 415
876 651 811
433 200 583
659 466 159
449 413 914
787 94 672
711 630 614
710 874 332
664 194 976
327 78 671
106 854 191
542 475 937
441 483 829
177 631 882
59 211 94
531 825 998
590 225 989
81 399 314
819 172 195
818 466 622
837 500 630
772 861 518
897 707 539
430 720 805
224 37 790
755 546 554
462 651 318
368 577 298
628 95 465
898 436 411
495 773 261
68 211 118
618 54 200
117 593 897
464 883 230
235 587 757
273 607 792
259 10 56
557 890 618
546 66 426
509 152 367
702 247 625
680 868 959
429 133 538
8 323 96
942 868 940
558 707 938
283 507 19
511 795 218
734 306 874
33 803 760
144 623 32
280 320 437
736 588 859
875 348 695
120 97 554
234 588 327
502 734 12
685 589 391
447 696 97
15 191 182
141 84 669
907 64 756
14 816 682
829 606 310
66 233 402
7 786 496
403 628 33
95 553 504
802 352 823
352 514 984
479 659 659
275 198 378
761 96 128
662 481 212
380 368 769
738 52 495
301 93 513
145 825 708
818 2 689
423 278 587
22 476 168
647 138 701
535 454 560
906 681 384
494 249 37
723 584 901
579 745 691
565 580 821
36 670 730
538 668 548
10 936 703
329 647 935
857 283 763
544 799 413
88 155 929
834 673 760
169 188 310
681 92 478
27 462 946
22 855 891
721 763 439
786 455 650
263 480 380
92 877 911
161 135 179
583 10 539
598 910 525
806 636 480
785 339 276
43 799 68
337 292 614
184 267 922
735 580 754
330 141 170
585 189 106
942 797 704
94 709 483
892 665 664
891 819 538
782 808 467
768 843 339
630 818 160
126 572 176
124 422 848
397 155 790
346 255 322
296 383 69
931 738 799
295 150 408
422 153 926
30 830 929
2 158 782
208 834 397
414 785 288
393 841 492
892 259 657
483 948 287
64 884 501
396 542 49
289 939 849
312 290 120
832 783 555
336 794 918
570 74 996
288 507 646
529 662 740
935 668 411
673 205 466
287 649 437
458 894 205
592 105 145
396 147 995
43 914 77
659 250 712
59 918 347
412 843 327
306 92 441
581 133 101
30 529 969
944 38 423
372 350 222
101 232 72
580 868 962
1 516 892
556 578 206
711 162 788
164 463 78
408 253 470
171 773 636
210 933 719
828 799 397
230 838 137
881 230 540
32 437 192
866 263 161
708 691 713
80 575 348
690 633 22
559 269 849
825 219 975
731 602 648
276 136 81
736 295 35
216 537 323
177 578 719
635 125 157
465 267 842
913 721 245
814 537 816
174 25 348
949 79 542
741 230 480
938 599 469
163 757 352
898 507 453
118 428 759
277 487 29
658 135 719
927 660 718
631 826 563
843 375 299
663 280 192
825 882 558
287 136 745
561 363 692
873 784 272
842 9 684
235 504 828
19 694 87
501 441 548
256 883 484
892 851 143
395 559 554
333 620 836
208 443 47
873 157 948
568 135 126
142 647 395
215 30 528
89 334 341
254 19 615
752 94 41
170 397 256
251 631 812
223 498 601
348 1 865
758 494 586
76 560 83
885 79 193
920 420 356
366 849 999
465 297 391
744 248 74
549 447 924
688 714 301
748 670 522
771 851 635
378 756 249
743 198 737
711 589 701
356 631 885
556 901 310
467 432 540
239 788 172
773 257 538
21 714 113
799 148 578
161 859 804
122 777 731
5 650 461
649 82 854
168 623 311
300 631 975
393 923 454
255 148 728
634 744 432
689 370 963
173 753 829
607 335 350
14 922 361
197 370 798
848 593 313
204 544 932
315 172 394
220 86 389
658 654 214
401 457 720
364 184 659
296 617 191
156 246 117
787 796 479
792 223 353
382 519 117
866 846 528
