931 935
129 842 414
794 85 896
485 325 -878
658 458 -805
18 507 -901
267 674 -656
901 57 59
878 317 254
864 733 277
831 278 -838
869 581 535
19 812 -719
750 389 43
269 210 334
352 580 769
797 485 718
88 132 918
238 917 823
186 241 -535
254 842 -262
655 821 148
240 818 -69
853 84 -965
420 149 -992
253 761 730
337 70 -426
352 60 -107
108 228 559
863 741 908
153 24 893
848 197 -754
559 668 -261
875 777 21
751 718 475
12 220 -489
451 712 647
449 574 994
545 207 203
570 899 -417
823 516 353
193 298 -896
276 414 78
477 930 912
315 575 -186
585 709 -140
520 493 19
113 134 -571
136 882 -840
667 834 -233
315 497 1
261 138 514
911 640 -517
593 387 759
672 550 -714
505 517 -361
495 779 -380
864 452 700
327 564 628
446 396 -116
122 189 92
141 70 507
590 456 -113
882 765 -490
917 178 735
871 354 165
193 99 765
656 10 598
769 201 411
414 731 -34
122 703 -299
659 792 -4
888 453 -993
11 435 835
438 62 832
753 365 -13
172 3 66
930 525 187
483 275 838
867 887 -449
56 733 834
819 205 -29
309 78 446
532 372 514
906 877 -578
274 827 -202
131 452 916
126 68 -518
233 846 -391
187 331 -664
447 245 889
287 278 -796
735 613 338
883 250 878
572 283 -899
886 430 -743
354 292 311
40 806 576
883 236 303
30 393 -661
160 51 -187
325 698 -792
33 68 924
524 720 -114
831 223 -343
121 308 723
432 446 857
131 228 990
845 142 744
846 548 -968
96 782 -344
754 629 -472
735 343 102
874 434 694
902 425 -316
133 80 605
58 609 -108
327 777 371
325 450 840
693 195 752
859 413 779
40 746 -231
33 756 330
417 109 732
115 192 -217
224 161 989
179 392 -373
800 880 865
305 452 -116
238 575 515
785 744 -713
445 274 -704
274 24 22
836 199 607
834 660 -855
141 685 -689
1 921 -533
641 664 3
794 514 327
429 869 528
189 635 -636
496 469 130
699 668 -601
61 688 156
65 794 714
443 489 333
724 237 -425
405 655 207
240 99 -674
373 779 272
740 292 -817
338 284 630
883 71 875
847 96 300
487 668 -502
441 208 30
334 198 -192
843 219 923
870 697 -228
598 757 -472
27 187 -956
644 722 556
85 396 847
616 586 741
442 848 412
740 829 329
536 292 -453
892 472 316
390 761 644
130 184 129
451 532 146
522 263 586
226 387 -337
557 674 852
861 466 247
189 10 297
342 156 -528
540 235 249
11 621 79
698 700 -950
496 335 -361
551 647 -383
348 125 347
419 117 489
921 679 -60
901 753 955
819 633 726
214 294 -79
334 7 341
96 694 217
421 536 -164
9 169 825
287 820 -653
119 838 267
40 825 336
412 715 -602
765 3 287
433 123 -483
634 404 936
166 153 -2
563 68 -422
177 915 -174
514 158 -491
41 388 -409
313 647 235
123 645 -172
218 135 -179
672 626 381
617 175 288
233 565 -44
612 99 -808
623 24 -711
905 146 668
754 923 -425
895 315 -895
266 267 -540
282 269 93
314 73 -322
893 548 -179
475 413 205
391 227 680
819 24 -524
349 526 273
23 771 645
885 730 418
875 79 174
63 546 -998
223 429 -508
860 619 670
832 724 -264
393 763 -191
125 11 -622
288 322 28
596 836 -964
889 757 190
252 47 819
29 762 43
199 162 488
113 187 -497
801 612 -149
590 252 125
75 451 -292
131 897 678
9 890 -325
157 680 -824
765 425 -828
907 824 -195
577 767 56
508 790 -192
312 83 -884
548 671 891
659 445 -717
341 422 -389
914 898 -618
152 148 983
200 255 263
650 674 644
714 900 -641
86 88 -396
261 559 139
789 885 178
14 231 331
311 383 40
436 74 -115
662 4 207
376 331 -38
736 479 -88
38 687 988
131 652 -424
818 682 305
403 638 223
377 811 233
219 85 785
642 315 236
470 173 -695
579 621 815
665 194 382
72 35 716
369 31 -82
620 851 -214
383 612 -309
726 39 59
151 537 637
364 785 -471
768 54 65
582 563 417
623 505 305
920 490 -847
7 656 305
876 878 -237
288 607 -945
105 618 520
484 667 -604
51 447 -788
818 16 -91
750 316 -506
612 446 -293
83 186 -774
468 166 502
85 617 -591
421 250 945
285 607 -819
405 744 -546
918 176 765
656 706 -207
670 417 -60
133 858 -553
106 16 236
741 227 435
885 306 -998
61 515 -604
260 172 817
624 153 -871
340 224 -252
336 31 -121
772 593 967
742 570 -926
451 752 255
179 810 636
621 824 -734
652 616 868
908 436 -162
919 910 -893
61 193 715
635 374 291
467 71 -527
582 167 -546
906 42 162
619 400 216
668 795 355
589 826 445
597 862 -421
167 294 -64
23 630 -885
578 36 -511
131 416 326
369 414 -403
355 818 684
180 227 -465
288 599 -460
224 666 402
825 94 -927
658 716 904
524 68 585
873 232 526
378 907 623
517 385 -636
273 709 560
493 715 -457
882 345 349
424 167 132
17 144 -93
460 453 -474
918 859 757
288 23 -435
8 224 -507
237 107 302
702 907 -351
125 495 -433
726 593 381
182 195 -988
729 111 783
392 31 447
637 792 -642
918 261 -267
262 310 409
60 367 -208
414 520 343
396 213 -140
621 23 769
156 423 -351
284 592 229
731 199 -904
563 653 -280
53 765 661
632 776 -842
589 548 261
926 320 999
137 646 -464
32 781 -460
307 321 -74
917 433 290
84 454 399
454 160 362
354 134 -211
804 463 -111
98 563 -1
50 738 683
4 15 221
745 6 810
300 594 -567
791 68 793
693 237 26
299 421 -448
917 243 -966
802 186 959
246 749 -189
673 520 -962
5 439 181
886 191 -523
278 453 790
920 560 332
343 931 -666
38 829 836
369 319 452
309 206 4
199 822 -644
226 491 969
42 9 -998
483 319 159
263 135 453
61 415 279
258 523 -169
772 410 144
487 116 -443
361 407 -601
400 256 -440
271 454 522
401 911 -632
380 632 645
143 99 957
756 631 -663
831 840 750
696 700 -398
600 528 -593
283 64 -787
823 463 89
882 5 -807
780 397 108
552 554 -125
632 815 -176
804 625 -48
21 655 -572
635 366 430
516 703 956
320 58 -676
80 455 922
319 873 -256
333 874 -643
409 207 -772
669 380 -324
701 176 674
683 867 -470
483 456 -800
424 16 876
203 229 893
485 38 818
381 182 -590
266 689 22
296 299 -195
265 214 64
91 242 160
823 76 81
854 289 -715
881 473 -393
81 133 -880
660 595 402
180 263 -443
483 570 -476
511 139 -584
591 619 -239
557 840 517
216 578 939
367 640 229
903 271 670
617 888 -287
182 61 847
897 390 -644
688 107 -948
746 648 -975
540 504 -862
689 582 113
598 664 -150
815 6 222
160 290 560
120 126 -745
547 560 -113
684 415 -672
8 536 946
549 266 -929
661 65 318
468 322 -472
353 685 -745
418 518 -272
785 376 -628
420 259 298
409 509 -865
638 359 -724
231 869 -940
766 254 -650
163 783 -439
724 828 -907
316 606 -344
539 336 -88
40 705 247
208 344 -804
923 417 -337
248 869 731
239 28 885
672 407 -118
627 797 603
318 399 -317
433 269 656
225 28 -177
840 281 -82
779 361 -805
46 834 724
101 652 -488
385 60 -474
680 66 69
282 597 -586
846 277 487
595 635 -620
94 53 -721
276 379 990
922 574 -352
907 560 358
111 772 -699
874 709 78
194 887 -853
469 623 -6
379 919 147
154 833 959
53 564 -747
649 403 -95
191 844 -523
666 860 -195
661 26 398
153 327 948
389 902 -58
814 461 -277
335 800 -571
831 893 -287
311 155 549
371 62 436
39 769 779
161 644 592
730 559 721
261 447 -634
24 551 251
120 82 25
503 307 6
703 584 764
49 655 -195
394 713 -147
540 453 48
489 477 -190
32 115 -562
235 643 960
600 179 -830
340 645 -770
849 503 -866
119 335 283
138 926 -822
577 883 677
733 910 416
664 206 -861
493 15 -615
835 587 -10
157 392 749
497 306 747
205 587 -310
309 767 272
454 184 301
706 3 -956
740 409 -230
50 5 -361
103 743 738
798 169 -525
118 906 658
69 586 171
358 395 350
355 285 583
168 908 807
201 549 188
194 765 -13
380 407 796
106 929 564
508 684 38
315 69 767
566 770 -931
35 611 128
60 357 -47
323 88 524
127 507 86
751 583 -653
639 778 -454
728 544 -655
284 553 609
484 400 -293
350 700 688
579 175 -279
369 99 -466
892 874 -139
210 835 290
8 618 -171
402 74 400
164 426 501
685 124 985
95 802 978
889 436 141
547 727 -820
484 364 -854
621 281 -832
745 304 -2
557 261 -410
876 864 701
197 445 660
901 143 99
633 8 -521
655 701 69
42 426 -94
148 447 -515
287 283 -717
701 457 -688
600 254 470
775 509 893
592 151 203
270 719 -784
264 615 -849
683 35 947
564 262 384
239 912 -468
471 74 731
927 139 -887
735 520 69
256 707 -678
707 216 623
898 844 78
128 177 -612
323 724 607
